Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
10,7,2,4,0,7874503,1,3,0
10,7,2,1,0,317542,1,2,0
10,7,2,4,1,757,3,3,0
10,7,2,4,0,1513397,2,3,0
10,7,2,1,1,4321,1,3,0
10,7,2,1,1,709,1,3,31
10,7,2,4,0,8399,1,3,0
10,7,2,4,0,535972,1,3,0
10,7,2,1,0,2242,1,3,0
10,7,2,4,1,574,1,3,0
10,7,2,4,0,481037,1,3,0
10,7,2,1,0,2297357,1,3,1
10,7,2,4,0,329313,1,3,0
10,7,2,4,0,12599407,1,3,0
10,7,2,3,0,5331,3,3,0
10,7,2,4,0,1060,1,3,1
10,7,2,4,0,64388,1,3,0
10,7,2,1,1,673,1,3,0
10,7,2,4,0,583,1,3,0
10,7,2,4,1,1351,1,3,0
10,7,2,4,0,376103,1,3,0
10,7,2,4,0,6563,1,3,0
10,7,2,4,0,18894,1,3,0
10,7,2,1,0,418,1,3,1
10,7,2,4,0,133244,1,3,0
10,7,2,4,0,154326,3,3,0
10,7,2,4,0,243250,1,3,0
10,7,2,4,0,713,1,3,0
10,23,2,3,0,581,2,3,0
6,24,2,5,0,1158,1,3,0
10,24,2,5,1,5076433,1,3,0
10,24,2,5,1,560,1,3,3
10,24,2,5,0,26959,2,3,12
10,24,2,5,1,575560,1,3,1
7,25,2,1,0,93747,3,3,0
10,,2,1,0,220636,3,3,0
9,8,3,1,0,72955,3,3,0
10,8,3,1,1,633,3,3,0
10,8,3,3,1,775,3,3,0
1,9,3,1,1,545,1,3,0
8,9,3,1,0,56996,3,3,2
9,9,3,1,0,437918,3,3,1
10,9,3,1,0,602,3,3,0
10,9,3,1,0,267,1,3,1
10,9,3,1,0,285,1,3,0
10,9,3,1,0,608,3,3,0
5,18,3,4,0,5951,1,3,0
9,18,3,1,0,231,1,3,0
10,18,3,2,0,561,1,3,0
10,18,3,1,0,364,1,3,0
10,18,3,3,0,511,1,3,0
10,18,3,3,0,175853,1,3,0
10,2,3,4,0,437420,1,3,0
9,10,3,1,0,1813,1,3,0
0,3,3,1,0,1978,3,3,1
0,3,3,3,0,1170,3,2,0
0,3,3,1,0,19690311,3,3,0
0,3,3,2,0,754,1,3,0
0,3,3,1,0,51832438,1,3,0
0,3,3,4,0,1799323,1,3,0
0,3,3,1,0,2432149,1,3,0
1,3,3,1,0,427677,1,3,0
1,3,3,2,0,3609241,3,3,0
1,3,3,2,0,7094537,1,3,0
1,3,3,2,1,631,1,3,0
2,3,3,1,1,3966562,1,3,0
3,3,3,1,0,12257461,1,3,0
3,3,3,1,1,471,1,3,0
3,3,3,2,1,844556,1,3,1
4,3,3,4,0,31363272,1,3,0
4,3,3,1,0,485,1,3,0
5,3,3,1,0,1136,3,3,0
6,3,3,4,1,3845652,3,3,0
6,3,3,3,0,1444,1,3,0
6,3,3,3,0,52442173,3,3,0
6,3,3,1,1,685,3,3,0
6,3,3,1,0,444,1,3,0
6,3,3,1,0,320,3,3,0
6,3,3,1,1,487,3,3,3
7,3,3,1,0,580945,3,3,0
7,3,3,2,0,227781,3,3,0
7,3,3,5,1,479,1,3,0
7,3,3,2,1,801182,3,3,0
7,3,3,3,0,359,3,3,0
8,3,3,1,0,82490,3,3,0
8,3,3,1,0,386,3,3,1
8,3,3,4,0,290378,3,3,0
8,3,3,1,0,951,3,3,0
8,3,3,4,1,783,1,3,0
8,3,3,3,1,464648,3,3,5
8,3,3,3,0,1798,3,3,0
8,3,3,5,0,3150348,1,3,0
8,3,3,1,0,664,3,3,1
8,3,3,1,0,563,3,3,0
8,3,3,4,0,1030646,3,3,0
8,3,3,4,0,1136210,1,3,0
8,3,3,1,0,2582623,1,3,0
8,3,3,1,1,463,3,3,0
8,3,3,1,0,85393,1,3,0
8,3,3,4,0,359,1,3,4
8,3,3,3,1,841,1,3,0
8,3,3,1,0,1127,1,3,0
8,3,3,2,0,636,1,3,0
8,3,3,1,1,13153651,1,3,0
